,Semester,# of Sections,# Enrolled
39,2003s,109.0,2675.0
38,2003f,116.0,2909.0
37,2004s,104.0,2507.0
36,2004f,104.0,2533.0
35,2005s,100.0,2358.0
34,2005f,100.0,2329.0
33,2006s,94.0,2286.0
32,2006f,112.0,2666.0
31,2007s,103.0,2243.0
30,2007f,113.0,2747.0
29,2008s,112.0,2719.0
28,2008f,132.0,3399.0
27,2009f,134.0,3133.0
26,2010s,153.0,3622.0
25,2010f,157.0,3976.0
24,2011s,163.0,3912.0
23,2011f,177.0,4395.0
22,2012s,176.0,4176.0
21,2012f,175.0,4205.0
20,2013s,172.0,3914.0
19,2013f,187.0,4056.0
18,2014s,173.0,4002.0
17,2014f,197.0,5154.0
16,2015s,174.0,4375.0
15,2015f,201.0,5296.0
14,2016s,198.0,4689.0
13,2016f,184.0,4735.0
12,2017s,171.0,3646.0
11,2017f,173.0,4251.0
10,2018s,171.0,3471.0
9,2018f,189.0,4409.0
8,2019s,149.0,2870.0
7,2019f,160.0,3718.0
6,2020s,145.0,2656.0
5,2020f,130.0,2979.0
4,2021s,113.0,2062.0
3,2021f,131.0,2248.0
2,2022s,129.0,2137.0
1,2022f,147.0,2068.0
0, 2023s,132.0,1632.0
